City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,79.0,light rain,-23.1203,-134.9692,Pension Maro'i
1,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
3,Port Lincoln,AU,65.08,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
4,Harper,LR,78.3,clear sky,4.375,-7.7169,Screensaver
5,Atuona,PF,80.92,scattered clouds,-9.8,-139.0333,Villa Enata
6,Cayenne,GF,81.0,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
10,Nueva Loja,EC,86.0,scattered clouds,0.0847,-76.8828,Limoncocha Great Hotel
12,Meulaboh,ID,76.14,overcast clouds,4.1363,96.1285,Kost Pria
16,Butaritari,KI,81.77,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
17,Chuy,UY,67.78,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
19,Port Elizabeth,ZA,68.0,clear sky,-33.918,25.5701,39 On Nile Guest House
25,Kapaa,US,80.01,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
28,Port Alfred,ZA,69.37,overcast clouds,-33.5906,26.891,The Halyards Hotel
30,General Roca,AR,66.2,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
31,Georgetown,MY,78.01,mist,5.4112,100.3354,Cititel Penang
32,Dicabisagan,PH,79.0,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
33,Limon,CR,82.4,broken clouds,10.0,-83.0333,Hotel Playa Bonita
35,Buta,CD,67.62,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
38,Caravelas,BR,75.92,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
43,Dingle,PH,81.03,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
45,Kavieng,PG,83.28,light rain,-2.5744,150.7967,Nusa Island Retreat
46,Dwarka,IN,77.36,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
51,Sao Filipe,CV,70.52,few clouds,14.8961,-24.4956,Tortuga B&B
52,San Patricio,US,80.6,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
54,Alofi,NU,84.2,light rain,-19.0595,-169.9187,Taloa Heights
57,Hilo,US,80.6,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
58,Sibolga,ID,77.05,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
62,Kloulklubed,PW,77.0,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
64,Airai,TL,67.68,overcast clouds,-8.9266,125.4092,Juvinal Martin
70,Forquilhinha,BR,71.13,light rain,-28.7475,-49.4722,Oma Zita Hotel
76,Mahebourg,MU,77.0,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Vaini,TO,84.2,light rain,-21.2,-175.2,Keleti Beach Resort
82,Cidreira,BR,70.66,overcast clouds,-30.1811,-50.2056,Hotel Castelo
86,Bengkulu,ID,76.68,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
87,Raymondville,US,84.2,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
88,Hobyo,SO,79.16,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
91,Hithadhoo,MV,82.42,broken clouds,-0.6,73.0833,Scoop Guest House
93,Half Moon Bay,US,69.8,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
96,East London,ZA,68.97,broken clouds,-33.0153,27.9116,Tu Casa
98,San Cristobal,VE,71.6,fog,7.7669,-72.225,Posada Villaven C.A.
102,Mogadishu,SO,79.38,overcast clouds,2.0371,45.3438,Olympic Hotel
103,Bima,ID,81.36,overcast clouds,-8.4667,118.7167,Lambitu Hotel
104,Sena Madureira,BR,74.37,light rain,-9.0656,-68.6569,Hotel Central
107,Bethel,US,71.6,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
111,Estelle,US,80.6,broken clouds,29.8458,-90.1067,Ohio
112,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
116,Buala,SB,85.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
120,Nhulunbuy,AU,84.2,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
121,San Vicente,AR,71.85,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
123,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
124,Constancia,MX,78.01,few clouds,24.2231,-107.1869,Mi casa
125,Aquiraz,BR,77.0,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
126,Alim,PH,82.27,overcast clouds,9.5649,122.4876,Calamai Tropica
128,Bambous Virieux,MU,77.0,few clouds,-20.3428,57.7575,Casa Tia Villa
132,Vallenar,CL,70.74,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
133,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
135,The Valley,AI,78.8,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
137,Sydney,AU,73.99,clear sky,-33.8679,151.2073,The Grace Sydney
138,Carauari,BR,74.73,overcast clouds,-4.8828,-66.8958,Hotel Fellip
142,Badnawar,IN,68.0,clear sky,23.0167,75.2167,Hotel Mrityunjay
145,Purepero,MX,78.8,broken clouds,19.9167,-102.0167,Hotel Lupita
147,Vila Velha,BR,78.8,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
149,Hays,US,84.2,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
150,Alice Springs,AU,87.01,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
151,Los Llanos De Aridane,ES,69.8,overcast clouds,28.6585,-17.9182,Valle Aridane
158,Camocim,BR,74.97,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
159,Flinders,AU,75.99,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
162,Nassau,US,73.4,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
164,Beckley,US,68.0,clear sky,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
166,Victoria,HK,73.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
167,Santa Cruz De La Palma,ES,69.8,overcast clouds,28.6835,-17.7642,H10 Taburiente Playa
172,Francistown,BW,66.49,clear sky,-21.17,27.5079,Budget House
173,Carnarvon,AU,73.4,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
176,Sinnamary,GF,77.86,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
179,Vao,NC,78.3,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
180,Sarangani,PH,81.37,overcast clouds,5.4033,125.4636,Ballistic Islet
181,Westport,US,71.6,haze,41.1415,-73.3579,The Westport Inn
182,Riberalta,BO,77.0,broken clouds,-10.9833,-66.1,Hotel Colonial
188,Cap Malheureux,MU,75.0,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
189,Manggar,ID,78.98,overcast clouds,-2.8833,108.2667,Guest Hotel
192,Veraval,IN,79.18,clear sky,20.9,70.3667,Lords Inn Somnath
197,Ojinaga,MX,86.0,clear sky,29.5667,-104.4167,Suites Las Palmas
198,Tomatlan,MX,80.49,overcast clouds,19.9333,-105.25,Norma franco
199,Hualmay,PE,70.59,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
203,Sao Joao Da Barra,BR,76.77,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
208,Ixtapa,MX,75.2,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
212,Puri,IN,78.8,mist,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
213,Kodinar,IN,79.3,clear sky,20.7903,70.7031,Gayatri Auto advisor
215,Kahului,US,84.2,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
217,Pacific Grove,US,69.8,clear sky,36.6177,-121.9166,Lovers Point Inn
218,Banda Aceh,ID,78.89,light rain,5.5577,95.3222,Sulthan Hotel International
219,Vicente Guerrero,MX,78.8,few clouds,19.1194,-98.1708,Churros Inn
221,Sulangan,PH,81.27,broken clouds,11.1373,123.7228,Maia's Beach Resort
224,Arona,ES,66.99,few clouds,28.0996,-16.680999999999997,Paradise Court
225,Cabinda,AO,77.72,overcast clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
226,Sisophon,KH,81.59,overcast clouds,13.5859,102.9737,Pyramid Hotel
231,Tam Ky,VN,75.2,mist,15.5667,108.4833,Khách Sạn Đông Á
232,Manavalakurichi,IN,82.4,mist,8.1333,77.3,Udaya Boys Hostel
233,Tiarei,PF,82.4,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
237,Port Blair,IN,82.27,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
240,Santa Cruz Del Norte,CU,84.2,few clouds,23.1539,-81.9236,Felipon Pon Pon
247,Pisco,PE,70.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
249,Lorengau,PG,83.28,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
252,Quang Ngai,VN,74.97,overcast clouds,15.1167,108.8,Central Hotel
254,Itoman,JP,73.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
257,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
261,Sao Domingos,BR,72.68,scattered clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
262,Monywa,MM,77.76,clear sky,22.1167,95.1333,Monywa Hotel
267,Fuerte Olimpo,PY,80.83,scattered clouds,-21.0415,-57.8738,Hospedaje DAMI
268,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
269,Richards Bay,ZA,67.39,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
277,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
280,Kampong Thum,KH,81.64,broken clouds,12.7111,104.8887,Sambor Village Hotel
290,Ponerihouen,NC,83.55,scattered clouds,-21.0833,165.4,Camping de Tiakan
293,Nanakuli,US,80.6,broken clouds,21.3906,-158.1547,Camp Pālehua
295,Juigalpa,NI,89.6,scattered clouds,12.1063,-85.3645,Ethos Inn
296,Broken Hill,AU,66.2,clear sky,-31.95,141.4333,Royal Exchange Hotel
297,Madang,PG,82.56,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
299,Rocha,UY,65.93,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
300,Maldonado,UY,70.0,overcast clouds,-34.6667,-54.9167,La Cimarrona
302,Karmala,IN,79.32,clear sky,18.4167,75.2,Hotel Ashutosh And Lodge
303,Faanui,PF,82.89,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
304,Ugoofaaru,MV,83.61,overcast clouds,5.6667,73.0,Ungoofaaru Inn
305,Gizo,SB,85.06,scattered clouds,-8.103,156.8419,Imagination Island
307,Acajutla,SV,89.6,few clouds,13.5928,-89.8275,asi es
309,Ocos,GT,87.8,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
310,Labuhan,ID,79.47,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
311,Kununurra,AU,80.6,scattered clouds,-15.7667,128.7333,Hotel Kununurra
314,Nouakchott,MR,71.6,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
315,Searcy,US,69.8,clear sky,35.2506,-91.7363,Holiday Inn Express & Suites Searcy
316,Oistins,BB,78.8,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
318,Innisfail,AU,81.63,broken clouds,-17.5333,146.0333,Moondarra Motel
319,Ahipara,NZ,70.09,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
330,Sur,OM,78.12,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
331,Wahiawa,US,80.6,light rain,21.5028,-158.0236,Aloha Wahiawa
333,Ghanzi,BW,68.14,few clouds,-21.5667,21.7833,Ghanzi Farmhouse
334,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
335,Tevaitoa,PF,82.87,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
336,San Policarpo,PH,81.07,broken clouds,12.1791,125.5072,JM Lodge
337,Guarapari,BR,78.8,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
339,Carutapera,BR,73.24,overcast clouds,-1.195,-46.02,Lidera
340,Sola,VU,82.45,broken clouds,-13.8833,167.55,Leumerus Bungalows
343,La Libertad,EC,78.8,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
348,Grand-Lahou,CI,78.69,few clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
349,Takoradi,GH,79.68,scattered clouds,4.8845,-1.7554,Raybow International Hotel
352,Kui Buri,TH,82.0,few clouds,12.0828,99.8543,ริสต้า รีสอร์ท
361,La Primavera,CO,77.5,heavy intensity rain,5.4906,-70.4092,La Riviera Hotel Colonial
366,Miandrivazo,MG,73.72,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
367,Araceli,PH,81.77,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
368,Umm Lajj,SA,67.06,clear sky,25.0213,37.2685,Moon light Furnished Units
371,Bundibugyo,UG,66.79,overcast clouds,0.7414,30.0417,R.A. Kaliisa Accomodations
372,Barra Do Bugres,BR,71.78,scattered clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
374,Saint-Paul,RE,75.0,clear sky,-21.0096,55.2707,Boucan Canot
376,Cabo San Lucas,MX,77.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
380,Mount Isa,AU,86.0,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
381,Dagua,CO,73.4,scattered clouds,3.6569,-76.6886,Hostal Río Dagua
383,Mandera,KE,82.8,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
388,Ahuimanu,US,80.6,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
390,Puerto Escondido,MX,84.2,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
396,Souillac,MU,77.0,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
397,Santiago,CL,75.2,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
399,Tecoanapa,MX,80.26,few clouds,16.5167,-98.75,Hotel Manglares
400,Mocuba,MZ,69.37,clear sky,-16.8392,36.9856,Phama Lodge
404,Alappuzha,IN,79.05,broken clouds,9.49,76.3264,Panoramic Sea Resort
405,Port Moresby,PG,84.2,broken clouds,-9.4431,147.1797,Lamana Hotel
406,Man,CI,76.1,scattered clouds,7.4125,-7.5538,Sodetherm Hotel les Cascades Ma
407,Grand-Santi,GF,73.13,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
408,Denpasar,ID,77.0,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
410,Yanam,IN,72.0,few clouds,16.7333,82.2167,The Regency Hotel
413,Yangjiang,CN,72.52,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
415,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
417,Kilindoni,TZ,82.51,light rain,-7.9139,39.6668,Bustani B&B
418,Bella Union,UY,69.04,overcast clouds,-30.2752,-57.6007,Hotel Oriente
423,Pires Do Rio,BR,66.9,broken clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
425,Basco,PH,78.06,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
426,Namibe,AO,73.02,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
427,Bandarbeyla,SO,77.36,overcast clouds,9.4942,50.8122,JABIR HOTEL
429,Rajur,IN,77.58,clear sky,20.1167,78.9167,N D K Tee Point
430,Urucara,BR,74.82,broken clouds,-2.5364,-57.76,Hotel japa
431,Arinos,BR,72.82,overcast clouds,-15.9169,-46.1056,casa do bruno
434,Matara,LK,76.39,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
435,Moron,AR,73.0,light rain,-34.6534,-58.6198,Hotel Morón
437,Marsh Harbour,BS,75.92,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
438,Alenquer,BR,77.0,few clouds,-1.9417,-54.7383,Josilene Castro
439,Nishihara,JP,73.4,scattered clouds,26.1842,127.7558,Minshuku Agaihama
443,Tocopilla,CL,70.27,few clouds,-22.092,-70.1979,Hotel Galvarino
447,Jamui,IN,70.68,clear sky,24.9167,86.2167,hotel sneha
449,Nuevitas,CU,80.6,few clouds,21.5453,-77.2644,Hotel Caonaba
453,Xuddur,SO,69.57,clear sky,4.1213,43.8894,Banjanay Hotel
454,Mana,GF,77.47,few clouds,5.6592,-53.7767,LE SAMANA
